1,"Minor collision","Front bumper","2021-05-01",[(Oil change~Maintenance);(Tire rotation~Maintenance)]
2,"Engine failure","Engine","2020-10-12",[(Engine replacement~Repair);(Transmission check~Maintenance)]
3,"Rear-end collision","Rear bumper","2019-11-23",[(Body repair~Repair)]
4,"Windshield damage","Windshield","2022-02-14",[(Windshield replacement~Repair)]
5,"Brake failure","Brakes","2018-07-04",[(Brake pad replacement~Maintenance);(Brake fluid check~Maintenance)]
6,"Battery issue","Battery","2021-12-10",[(Battery replacement~Repair)]
7,"Transmission issue","Transmission","2019-06-30",[(Transmission rebuild~Repair)]
8,"Suspension problem","Suspension","2020-08-15",[(Suspension overhaul~Repair)]
9,"Electrical problem","Electrical system","2021-09-21",[(Electrical wiring check~Maintenance)]
10,"Fuel system issue","Fuel system","2022-03-05",[(Fuel pump replacement~Repair)]
